x,r
-14.84399996,22.93083727
-14.58201552,22.77958048
-14.32003108,22.6283237
-14.05804664,22.47706691
-13.79544275,22.32689087
-13.53124729,22.17953304
-13.265478,22.03503301
-12.99816579,21.89340759
-12.72934176,21.75467327
-12.45903716,21.61884617
-12.18728345,21.48594209
-11.91411223,21.35597649
-11.63955526,21.22896449
-11.36364449,21.10492087
-11.08641201,20.98386003
-10.80789006,20.86579608
-10.52811103,20.75074274
-10.24710748,20.63871339
-9.964912071,20.52972107
-9.681557639,20.42377844
-9.397077138,20.32089783
-9.111503656,20.22109122
-8.824870408,20.1243702
-8.537210733,20.03074603
-8.248558089,19.94022959
-7.958946049,19.85283142
-7.668408299,19.76856167
-7.37697863,19.68743016
-7.084690939,19.60944632
-6.791579223,19.53461921
-6.497677573,19.46295754
-6.203020174,19.39446965
-5.907641297,19.3291635
-5.611575297,19.26704669
-5.314856612,19.20812644
-5.017519751,19.15240961
-4.719599299,19.09990267
-4.421129907,19.05061173
-4.12214629,19.00454253
-3.822683224,18.96170043
-3.522775538,18.9220904
-3.222458115,18.88571706
-2.921765887,18.85258463
-2.620733825,18.82269698
-2.319396944,18.79605756
-2.017790292,18.77266949
-1.71594895,18.75253549
-1.413908024,18.73565789
-1.111702645,18.72203865
-0.809367964,18.71167937
-0.506939144,18.70458125
-0.204451362,18.70074511
0.098057319,18.70067305
0.400364068,18.71122837
0.701952907,18.73457269
1.002283044,18.77066416
1.300815944,18.81943805
1.597016296,18.88080691
1.890352969,18.95466069
2.180299969,19.04086697
2.46633738,19.13927116
2.747952296,19.24969681
3.024640929,19.37194336
3.298842716,19.49969509
3.573104754,19.62726243
3.847427044,19.7546454
4.121809586,19.88184398
4.396252379,20.00885818
4.670755424,20.135688
4.9458342,20.262571
5.220614052,20.38910357
5.495474541,20.51546088
5.770415573,20.64164284
6.045437053,20.76764936
6.320538889,20.89348035
6.595720985,21.01913573
6.870983245,21.14461539
7.146325576,21.26991925
7.421747883,21.39504723
7.697250069,21.51999924
7.972832039,21.64477518
8.248493697,21.76937497
8.524234948,21.89379852
8.800055695,22.01804575
9.075955842,22.14211656
9.351935292,22.26601088
9.627993949,22.3897286
9.904131716,22.51326965
10.1803485,22.63663395
10.45664419,22.75982139
10.7330187,22.8828319
11.00947193,23.0056654
11.28600379,23.12832179
11.56261417,23.250801
11.83930297,23.37310293
12.1160701,23.49522751
12.39291546,23.61717464
12.66983895,23.73894425
12.94684048,23.86053625
13.22391993,23.98195055
13.50107721,24.10318708
13.77831223,24.22424575
14.05562488,24.34512648
14.33301506,24.46582919
14.61048268,24.58635378
14.88802763,24.70670019
15.16564981,24.82686833
15.44334912,24.94685811
15.72112546,25.06666946
15.99897873,25.1863023
16.27690883,25.30575654
16.55491566,25.42503211
16.8329991,25.54412892
17.11115908,25.6630469
17.38939547,25.78178596
17.66770818,25.90034602
17.94609711,26.01872701
18.22456216,26.13692885
18.50310321,26.25495146
18.78172017,26.37279475
19.06041294,26.49045866
19.33918141,26.60794311
19.61802548,26.72524801
19.89694504,26.84237329
20.17594,26.95931887
20.45501024,27.07608467
20.73415566,27.19267063
21.01337617,27.30907666
21.29267165,27.42530269
21.57204199,27.54134863
21.85148711,27.65721443
22.13100688,27.77289999
22.41060121,27.88840525
22.69026998,28.00373013
22.9700131,28.11887456
23.24983046,28.23383846
23.52972195,28.34862176
23.80968747,28.46322438
24.0897269,28.57764626
24.36984015,28.69188731
24.65002711,28.80594748
24.93028767,28.91982667
25.21062172,29.03352483
25.49102915,29.14704188
25.77150987,29.26037775
26.05206376,29.37353237
26.33269071,29.48650566
26.61339062,29.59929756
26.89416338,29.71190799
27.17500887,29.82433689
27.455927,29.93658418
27.73691766,30.0486498
28.01798073,30.16053367
28.2991161,30.27223573
28.58032368,30.38375591
28.86160334,30.49509414
29.14295498,30.60625036
29.42437849,30.71722448
29.70587377,30.82801645
29.98744069,30.9386262
30.26907916,31.04905367
30.55078906,31.15929877
30.83257027,31.26936146
31.1144227,31.37924166
31.39634623,31.4889393
31.67834075,31.59845433
31.96040615,31.70778667
32.24254232,31.81693626
32.52474914,31.92590303
32.80702651,32.03468693
33.08937432,32.14328789
33.37179244,32.25170583
33.65428078,32.35994071
33.93683922,32.46799245
34.21946765,32.575861
34.50216595,32.68354629
34.78493401,32.79104825
35.06777173,32.89836683
35.35067898,33.00550196
35.63365566,33.11245359
35.91670165,33.21922165
36.19981684,33.32580608
36.48300111,33.43220682
36.76625436,33.5384238
37.04957647,33.64445698
37.33296732,33.75030629
37.61642681,33.85597166
37.89995481,33.96145305
38.18355122,34.06675039
38.46721592,34.17186362
38.75094879,34.27679268
39.03474973,34.38153753
39.31861861,34.48609809
39.60255532,34.59047431
39.88655975,34.69466614
40.17063178,34.79867352
40.4547713,34.90249639
40.73897819,35.00613469
41.02325234,35.10958837
41.30759362,35.21285738
41.59200194,35.31594166
41.87647716,35.41884115
42.16101917,35.52155579
42.44562786,35.62408555
42.73030311,35.72643035
43.01504481,35.82859015
43.29985283,35.93056489
43.58472706,36.03235453
43.86966739,36.133959
44.15467369,36.23537825
44.43974586,36.33661224
44.72488377,36.4376609
45.0100873,36.5385242
45.29535635,36.63920208
45.58069078,36.73969448
45.86609049,36.84000135
46.15155535,36.94012265
46.43708525,37.04005833
46.72268007,37.13980833
47.00833969,37.23937261
47.294064,37.33875111
47.57985286,37.4379438
47.86570618,37.53695061
48.15162382,37.6357715
48.43760567,37.73440643
48.72365161,37.83285534
49.00976152,37.93111819
49.29593529,38.02919493
49.58217278,38.12708552
