Engine x,Engine y,Channel width,Rib width,Channel height,Chamber wall thickness,Channel area
-0.2,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1997480604,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1994961207,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1992441811,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.19899224140000002,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1987403018,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.19848836209999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1982364225,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1979844828,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1977325432,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1974806036,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1972286639,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1969767243,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.19672478459999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.196472845,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1962209053,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.19596896570000003,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1957170261,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1954650864,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.19521314680000001,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1949612071,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1947092675,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1944573278,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1942053882,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.19395344850000001,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.19370150889999999,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1934495693,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1931976296,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.19294569,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1926937503,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1924418107,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.192189871,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.19193793139999998,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.19168599169999997,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1914340521,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1911821125,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.19093017280000002,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1906782332,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1904262935,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1901743539,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
-0.1899224142,0.056,0.002,0.006796459430051421,0.002,0.001,4e-06
