,chamber_pressure,P_coolant,T_coolant,ox_mfr,fuel_mfr,coolant_mfr,oxidizer_name,fuel_name,coolant_name,wall_material,tbc_thickness,channel_roughness,wall_thickness,total_wall_thickness,nb_points,figure_dpi,nb_channels,channel_widths_inj,channel_widths_conv,channel_widths_throat,channel_widths_exit,channel_heights_inj,channel_heights_conv,channel_heights_throat,channel_heights_exit,channel_angles_inj,channel_angles_conv,channel_angles_throat,channel_angles_exit,cte_instance,max_wall_temp,avg_wall_temp,max_stress,coolant_pressure_drop,coolant_temp_increase
0,5000000.0,6200000.0,298,2.0,1.4,1.4,LOX,Isopropanol,Ethanol,CuCrZr,0.0,3e-05,0.001,0.007,500,150,66,0.0025,0.0025,0.001,0.002,0.003,0.003,0.001,0.002,0.0,0.0,0.0,0.0,<__main__.CoolTheEngine object at 0x00000225EA040550>,755.2023680481793,617.6758864347933,68147505.9899584,1536318.8877323568,195.44592079676545
1,5000000.0,6200000.0,298,2.0,1.4,1.4,LOX,Isopropanol,Ethanol,CuCrZr,0.0,3e-05,0.001,0.007,500,150,66,0.0025,0.0025,0.0009,0.002,0.003,0.003,0.001,0.002,0.0,0.0,0.0,0.0,<__main__.CoolTheEngine object at 0x00000225EA040690>,741.5460219242814,613.3183814486587,69493510.57453266,1940502.371281527,195.31690674639066
2,5000000.0,6200000.0,298,2.0,1.4,1.4,LOX,Isopropanol,Ethanol,CuCrZr,0.0,3e-05,0.001,0.007,500,150,66,0.0025,0.0023,0.001,0.002,0.003,0.003,0.001,0.002,0.0,0.0,0.0,0.0,<__main__.CoolTheEngine object at 0x00000225EA040A50>,755.2402098215593,615.0723472350971,67756130.51983339,1558076.717508561,195.5731063675761
3,5000000.0,6200000.0,298,2.0,1.4,1.4,LOX,Isopropanol,Ethanol,CuCrZr,0.0,3e-05,0.001,0.007,500,150,66,0.0025,0.0023,0.0009,0.002,0.003,0.003,0.001,0.002,0.0,0.0,0.0,0.0,<__main__.CoolTheEngine object at 0x00000225EA040B90>,741.5839383530156,610.5476574650239,69053279.76599994,1967983.6850866014,195.49905204505427
4,5000000.0,6200000.0,298,2.0,1.4,1.4,LOX,Isopropanol,Ethanol,CuCrZr,0.0,3e-05,0.001,0.007,500,150,66,0.0023,0.0025,0.001,0.002,0.003,0.003,0.001,0.002,0.0,0.0,0.0,0.0,<__main__.CoolTheEngine object at 0x00000225EA040CD0>,755.2023680481793,617.228177275753,68147505.9899584,1536978.6401595594,195.46766956723275
5,5000000.0,6200000.0,298,2.0,1.4,1.4,LOX,Isopropanol,Ethanol,CuCrZr,0.0,3e-05,0.001,0.007,500,150,66,0.0023,0.0025,0.0009,0.002,0.003,0.003,0.001,0.002,0.0,0.0,0.0,0.0,<__main__.CoolTheEngine object at 0x00000225EA040E10>,741.5460219242814,612.8827491320358,69493510.57453266,1941245.3171970919,195.33949680657145
6,5000000.0,6200000.0,298,2.0,1.4,1.4,LOX,Isopropanol,Ethanol,CuCrZr,0.0,3e-05,0.001,0.007,500,150,66,0.0023,0.0023,0.001,0.002,0.003,0.003,0.001,0.002,0.0,0.0,0.0,0.0,<__main__.CoolTheEngine object at 0x00000225EA041090>,755.2418413625714,614.2817253744087,63520125.75700529,1548498.1312434608,195.6172551945341
7,5000000.0,6200000.0,298,2.0,1.4,1.4,LOX,Isopropanol,Ethanol,CuCrZr,0.0,3e-05,0.001,0.007,500,150,66,0.0023,0.0023,0.0009,0.002,0.003,0.003,0.001,0.002,0.0,0.0,0.0,0.0,<__main__.CoolTheEngine object at 0x00000225EA040F50>,741.5856371006571,609.8743671154978,64875170.30689524,1954918.0938969748,195.51887971904227
