z_coord_list,r_coord_list,cross_section_area_list,effective_fin_thickness_list,channel_ar_list,channel_width_list,channel_height_list,hydraulic_diameter,effective_channel_cross_section,nb_channels,gamma_list,mach_list,static_pressure_list,hotgas_total_temp_list,hotgas_recovery_temp_list,hotgas_static_temp_list,hotgas_visc_list,hotgas_cp_list,hotgas_cond_list,hotgas_pr_list,hg_list,sigma_list,hl_normal_list,hl_corrected_list,h_tp_list,molFracH2O,molFracCO2,P_H2O_list,P_CO2_list,q_rad_list_CO2,q_rad_list_H2O,q_rad_list,q_tot_list,coolant_velocity_list,coolant_reynolds_list,coolant_density_list,coolant_cond_list,coolant_cp_list,coolant_visc_list,coolant_temp_list,coolant_pressure_list,coolant_Tsat_list,hotwall_temp_list,coldwall_temp_list,wall_cond_list,CHF_Meyer_list,CHF_Tong_list,hoop_stress_list,thermal_stress_list,max_wall_stress_list
0.08384268537074147,0.04837915024975331,0.0073530301146122355,0.0020910088557361743,0.9864649387045568,0.0023412533061247286,0.0023095642991181713,0.002283249512083879,5.216430098956237e-06,70,1.1404588890461402,2.866555035248783,123731.79778620937,3391.2430492476133,3243.40104711903,2150.3235423184924,7.487259656003778e-05,2027.6603331790543,0.22645281926192365,0.6808517546199077,2042.2265340817694,1.2413881312074833,9063.151775086202,13816.422255286261,13928.374923346515,0.43895625691903734,0.17303388883593684,54312.84681809769,21409.794143609568,46817.10377087627,88826.68759838928,135643.79136926556,5319595.369806856,4.546295099050023,8537.310827960975,783.0947238453242,0.16494345875793825,2496.838533667959,0.000952147431249686,307.03457651144305,6198429.125950885,514.0972166841485,705.0188001326983,688.9596323117602,331.250990083622,0.0,0.0,-293888694.7610538,24220365.0638871,318109059.8249409
0.08442084168336672,0.04852786133931326,0.007398304069035025,0.0020866542314725385,0.9867811558564936,0.002358956206573189,0.0023277735321371408,0.002301265070613457,5.2989902850429105e-06,70,1.1404588890461402,2.8703986546884948,122749.6990609859,3391.2430492476133,3243.2740326902353,2148.2141205725366,7.45777697767294e-05,2025.92185861941,0.22524460532624313,0.68108600033731,2025.7290123408352,1.240478523590753,8886.737989063668,13612.454614890365,13727.480390267401,0.4390496719002102,0.17334030885159107,53893.215098575405,21277.470746671155,46612.760329664125,88397.69692219849,135010.45725186262,5273226.104607679,4.4740430134968765,8425.10856191583,783.3431208588129,0.16499736832053413,2494.4267822217785,0.0009572895739687058,306.73867465195667,6198511.4655661,514.0979502010538,706.7967368359687,690.8751625355108,331.2013129534536,0.0,0.0,-294843724.5356611,23992590.601457015,318836315.1371181
0.08499899799599198,0.048675786542304394,0.007443476619334217,0.002082125147806468,0.9871028879149972,0.0023767630254106237,0.0023461096462724126,0.0023193978372474605,5.382741985093059e-06,70,1.1404588890461402,2.8742075353302203,121783.82438752752,3391.2430492476133,3243.150130092811,2146.125062392092,7.428225151994305e-05,2024.1794193826352,0.2240335463200563,0.681320804296033,2009.4437858779831,1.2395714092190284,8714.193448542439,13412.33247261284,13530.483129520166,0.43914316057681335,0.1736474636680488,53480.533548670435,21147.45222068922,46411.31699023847,87974.55872092339,134385.87571116188,5227467.179010985,4.403041426238087,8314.620631353619,783.59016740739,0.16505111028375838,2492.031776157578,0.000962441981584184,306.44425935438557,6198590.636163109,514.0986554653091,708.5774592407565,692.791674222813,331.151585154915,0.0,0.0,-295793351.22880954,23767757.75960087,319561108.9884104
0.08557715430861723,0.04882292683834056,0.00748854587471289,0.002077421935003719,0.9874300797664787,0.002394673520301208,0.002364572665165696,0.002337647720395336,5.467697528116012e-06,70,1.1404588890461402,2.8779820442520947,120833.83198998874,3391.2430492476133,3243.0293014473345,2144.0561355120003,7.398605611243685e-05,2022.4331115938485,0.2228196994607736,0.6815561565081135,1993.367287650511,1.2386668682135737,8545.429129380582,13215.973096148136,13337.300540999711,0.43923672284836807,0.17395534213991087,53074.65637249296,21019.690585894998,46212.72325619306,87557.17170334456,133769.8949595376,5182308.762394601,4.333269442021151,8205.819742716958,783.8358749395852,0.1651046857280817,2489.653371388515,0.0009676045959796459,306.1513201882677,6198666.766603304,514.0993336273445,710.3606363637709,694.7088657323493,331.1018151968072,0.0,0.0,-296737592.7022826,23545821.75347045,320283414.4557531
0.08615531062124249,0.04896928318115474,0.007533509951656153,0.0020725449210069924,0.987762676651813,0.002412687448909114,0.002383162612458701,0.002356014589747005,5.5538691351456116e-06,70,1.1404588890461402,2.881722541347945,119899.38941513977,3391.2430492476133,3242.911509443489,2142.0071121593073,7.368919787696887e-05,2020.6830313781697,0.22160312196580573,0.6817920469855878,1977.4960355852859,1.237764983113048,8380.3582141316,13023.296005172208,13147.852254159663,0.4393303586143955,0.17426393312177801,52675.44174940041,20894.139178381934,46016.929847662774,87145.43700786764,133162.36685553042,5137741.26743112,4.264706544728563,8098.679103883693,784.0802547990929,0.1651580957250165,2487.291424816509,0.0009727773597162253,305.85984677371266,6198739.980346076,514.099985789239,712.1459298834934,696.6264273614785,331.05201179505514,0.0,0.0,-297676466.31039506,23326739.001731217,321003205.3121263
0.08673346693386774,0.04911485657168818,0.007578366996319645,0.002067494437996394,0.9881006241820239,0.0024308045688985138,0.002401879511793137,0.002374498366840145,5.6412693323931425e-06,70,1.1404588890461402,2.885429381350242,118980.17277134517,3391.2430492476133,3242.7967172064937,2139.977767934462,7.339169113629722e-05,2018.9292748607174,0.22038387105256316,0.6820284657404924,1961.826614362598,1.2368658320501293,8218.89541163966,12834.221937392902,12962.059118549574,0.4394240677744171,0.1745732254682511,52282.75150368744,20770.75252746351,45823.88855756591,86739.2579266997,132563.14648426563,5093755.259879153,4.197332272382069,7993.172121265254,784.3233182145254,0.1652113413348157,2484.9457944427622,0.000977960215796545,305.5698287953078,6198810.395664756,514.100613006664,713.9330158611074,698.5440633125419,331.0021832851144,0.0,0.0,-298609989.37762487,23110466.517951597,321720455.8955765
0.087311623246493,0.049259647956814735,0.007623115153351739,0.002062270813298944,0.988443868352934,0.002449024637933583,0.002420723386810714,0.002393098925114817,5.729910492855855e-06,70,1.1404588890461402,2.889102911391873,118075.867091984,3391.2430492476133,3242.684888453887,2137.9678831365536,7.309355021318002e-05,2017.1719381666107,0.2191620039384565,0.6822654027848639,1946.3556925218622,1.2359694962222025,8060.957635724515,12648.673903598943,12779.844231474306,0.4395178502279542,0.17488320803393093,51896.45126807045,20649.486428434215,45633.55237149564,86338.54012955488,131972.09250105053,5050341.549611593,4.131126579191885,7889.272728323501,784.565076312631,0.16526442360933657,2482.6163392521894,0.00098315310792258,305.2812559881116,6198878.125875382,514.1012162909396,715.7215610376693,700.4614677448066,330.9523382628757,0.0,0.0,-299538178.56267405,22896962.538565498,322435141.10123956
0.08788977955911825,0.04940365832019013,0.007667752593800463,0.0020568743775432035,0.9887923555588296,0.002467347413678492,0.002439694261153142,0.0024118161685320553,5.819805198095648e-06,70,1.1404588890461402,2.892743473467697,117186.16548719653,3391.2430492476133,3242.575987333675,2135.9772414052213,7.279478943037533e-05,2015.4111174209686,0.2179375778408964,0.6825028481307389,1931.0800021751322,1.2350760541504362,7906.463426149984,12466.576299647542,12601.132075262625,0.43961170587452786,0.17519386967341832,51516.41011472119,20530.297803891543,45445.875300229985,85943.19134319719,131389.06664342718,5007491.102718678,4.066069560167353,7786.9551271748105,784.8055401127605,0.16531734359075748,2480.3029192774875,0.0009883559803593037,304.9941181458413,6198943.2795397155,514.1017966108593,717.5112408794103,702.3783430559921,330.90248509606886,0.0,0.0,-300461050.44903624,22686185.969286226,323147236.41832244
0.08846793587174345,0.04954688862231418,0.007712277496573139,0.002051305459279262,0.9891460326051664,0.0024857726537974153,0.0024587921584621293,0.002430651982604933,5.910975527189394e-06,70,1.1404588890461402,2.896351403050545,116310.7692591122,3391.2430492476133,3242.4699785124308,2134.005630468204,7.249542311064131e-05,2013.6469087489108,0.2167106499772935,0.6827407917901538,1915.9961325926627,1.2341854398195815,7755.320792391243,12287.836195385033,12425.83035861591,0.43970563461365947,0.175505199241314,51142.50060948085,20413.144732730987,45260.81243876177,85553.12145999413,130813.9338987559,4965193.626894286,4.002135182496642,7686.187967482767,785.0447200982903,0.16537010221681522,2478.005399721995,0.0009935687685408547,304.70840563431824,6199005.960314858,514.102354891366,719.3022065327418,704.2948705703604,330.85261931296327,0.0,0.0,-301378621.1547251,22478085.75762269,323856706.9123478
0.08904609218436871,0.04968933605043203,0.007756686877476238,0.0020455640483706588,0.9895048467203695,0.0025043001159545273,0.0024780171023793883,0.002449603707205373,6.003422129440355e-06,70,1.1404588890461402,2.8999269352728376,115449.41019829114,3391.2430492476133,3242.3668332293746,2132.052893352999,7.219546557673599e-05,2011.879408275556,0.21548127756505817,0.6829792237751453,1901.1015125264062,1.2332979194898317,7607.468462344918,12112.407581456328,12253.892402891635,0.43979963634487046,0.1758171855922189,50774.60862143822,20297.990379345163,45078.32535378626,85168.25271336931,130246.57806715557,4923443.034407592,3.9393125609285145,7586.954119381281,785.2826272296215,0.16542270054404015,2475.723641234151,0.0009987914210187261,304.4241081838488,6199066.267980199,514.1028920227128,721.093547843011,706.2101588958474,330.80276514436235,0.0,0.0,-302290882.4483986,22272639.479598254,324563521.9279969
