Engine x,Engine y,y coolant wall,Channel width,Rib width,Channel height,Chamber wall thickness,Channel area
-0.19,0.045,0.046,0.003,0.0027805304826052195,0.003,0.001,9e-06
-0.1895333474,0.045,0.046,0.0029976525823672143,0.0027828779002380052,0.003,0.001,8.992957747101643e-06
-0.1890666947,0.045,0.046,0.002995305164231395,0.0027852253183738244,0.003,0.001,8.985915492694186e-06
-0.1886000421,0.045,0.046,0.0029929577465986094,0.00278757273600661,0.003,0.001,8.978873239795828e-06
-0.1881333894,0.045,0.046,0.0029906103284627903,0.0027899201541424293,0.003,0.001,8.97183098538837e-06
-0.18766673679999998,0.045,0.046,0.0029882629108300045,0.002792267571775215,0.003,0.001,8.964788732490013e-06
-0.1872000842,0.045,0.046,0.0029859154931972188,0.002794614989408001,0.003,0.001,8.957746479591657e-06
-0.1867334315,0.045,0.046,0.0029835680750613996,0.00279696240754382,0.003,0.001,8.950704225184198e-06
-0.18626677889999999,0.045,0.046,0.002981220657428614,0.0027993098251766057,0.003,0.001,8.943661972285842e-06
-0.1858001262,0.045,0.046,0.0029788732392927947,0.002801657243312425,0.003,0.001,8.936619717878384e-06
-0.1853334736,0.045,0.046,0.002976525821660009,0.0028040046609452106,0.003,0.001,8.929577464980028e-06
-0.1848668209,0.045,0.046,0.00297417840352419,0.0028063520790810297,0.003,0.001,8.922535210572569e-06
-0.1844001683,0.045,0.046,0.002971830985891404,0.0028086994967138155,0.003,0.001,8.915492957674213e-06
-0.1839335157,0.045,0.046,0.0029694835682586183,0.0028110469143466012,0.003,0.001,8.908450704775855e-06
-0.18346686299999998,0.045,0.046,0.002967136150122799,0.0028133943324824204,0.003,0.001,8.901408450368398e-06
-0.18300021039999997,0.045,0.046,0.0029647887324900134,0.002815741750115206,0.003,0.001,8.89436619747004e-06
-0.1825335577,0.045,0.046,0.0029624413143541943,0.0028180891682510253,0.003,0.001,8.887323943062584e-06
-0.1820669051,0.045,0.046,0.0029600938967214085,0.002820436585883811,0.003,0.001,8.880281690164226e-06
-0.1816002525,0.045,0.046,0.0029577464790886228,0.002822784003516597,0.003,0.001,8.873239437265868e-06
-0.18113359980000002,0.045,0.046,0.0029553990609528036,0.002825131421652416,0.003,0.001,8.866197182858411e-06
-0.1806669472,0.045,0.046,0.002953051643320018,0.0028274788392852017,0.003,0.001,8.859154929960054e-06
-0.18020029450000002,0.045,0.046,0.002950704225184199,0.0028298262574210204,0.003,0.001,8.852112675552598e-06
-0.17973364190000002,0.045,0.046,0.002948356807551413,0.0028321736750538066,0.003,0.001,8.845070422654239e-06
-0.1792669893,0.045,0.046,0.002946009389918627,0.0028345210926865923,0.003,0.001,8.838028169755881e-06
-0.1788003366,0.045,0.046,0.002943661971782808,0.0028368685108224115,0.003,0.001,8.830985915348424e-06
-0.178333684,0.045,0.046,0.0029413145541500223,0.0028392159284551972,0.003,0.001,8.823943662450066e-06
-0.1778670313,0.045,0.046,0.002938967136014203,0.0028415633465910164,0.003,0.001,8.81690140804261e-06
-0.1774003787,0.045,0.046,0.0029366197183814174,0.002843910764223802,0.003,0.001,8.809859155144252e-06
-0.176933726,0.045,0.046,0.0029342723002455983,0.0028462581823596213,0.003,0.001,8.802816900736795e-06
-0.1764670734,0.045,0.046,0.0029319248826128125,0.002848605599992407,0.003,0.001,8.795774647838437e-06
-0.1760004208,0.045,0.046,0.0029295774649800268,0.002850953017625193,0.003,0.001,8.788732394940081e-06
-0.17553376810000001,0.045,0.046,0.0029272300468442076,0.002853300435761012,0.003,0.001,8.781690140532622e-06
-0.1750671155,0.045,0.046,0.002924882629211422,0.0028556478533937977,0.003,0.001,8.774647887634266e-06
-0.1746004628,0.045,0.046,0.0029225352110756027,0.002857995271529617,0.003,0.001,8.767605633226808e-06
-0.1741338102,0.045,0.046,0.002920187793442817,0.0028603426891624026,0.003,0.001,8.760563380328452e-06
-0.17366715759999998,0.045,0.046,0.002917840375810031,0.0028626901067951883,0.003,0.001,8.753521127430094e-06
-0.1732005049,0.045,0.046,0.002915492957674212,0.0028650375249310075,0.003,0.001,8.746478873022637e-06
-0.1727338523,0.045,0.046,0.0029131455400414263,0.0028673849425637932,0.003,0.001,8.73943662012428e-06
-0.1722671996,0.045,0.046,0.002910798121905607,0.0028697323606996124,0.003,0.001,8.732394365716822e-06
-0.171800547,0.045,0.046,0.0029084507042728214,0.002872079778332398,0.003,0.001,8.725352112818464e-06
-0.17133389429999998,0.045,0.046,0.0029061032861370023,0.0028744271964682173,0.003,0.001,8.718309858411007e-06
-0.1708672417,0.045,0.046,0.0029037558685042165,0.002876774614101003,0.003,0.001,8.71126760551265e-06
-0.1704005891,0.045,0.046,0.0029014084508714308,0.002879122031733789,0.003,0.001,8.704225352614292e-06
-0.16993393639999999,0.045,0.046,0.0028990610327356116,0.002881469449869608,0.003,0.001,8.697183098206835e-06
-0.16946728379999998,0.045,0.046,0.002896713615102826,0.0028838168675023937,0.003,0.001,8.690140845308477e-06
-0.1690006311,0.045,0.046,0.0028943661969670067,0.002886164285638213,0.003,0.001,8.68309859090102e-06
-0.1685339785,0.045,0.046,0.002892018779334221,0.0028885117032709986,0.003,0.001,8.676056338002663e-06
-0.16806732589999998,0.045,0.046,0.002889671361701435,0.0028908591209037843,0.003,0.001,8.669014085104305e-06
-0.1676006732,0.045,0.046,0.002887323943565616,0.0028932065390396035,0.003,0.001,8.661971830696848e-06
-0.16713402060000002,0.045,0.046,0.0028849765259328303,0.0028955539566723892,0.003,0.001,8.65492957779849e-06
-0.16666736789999997,0.045,0.046,0.002882629107797011,0.0028979013748082084,0.003,0.001,8.647887323391033e-06
-0.16620071530000002,0.045,0.046,0.002880281690164226,0.0029002487924409937,0.003,0.001,8.640845070492677e-06
-0.16573406270000002,0.045,0.046,0.0028779342725314397,0.00290259621007378,0.003,0.001,8.63380281759432e-06
-0.16526741,0.045,0.046,0.0028755868543956205,0.002904943628209599,0.003,0.001,8.626760563186861e-06
-0.1648007574,0.045,0.046,0.0028732394367628348,0.002907291045842385,0.003,0.001,8.619718310288505e-06
-0.1643341047,0.045,0.046,0.002870892018627016,0.0029096384639782035,0.003,0.001,8.612676055881048e-06
-0.1638674521,0.045,0.046,0.00286854460099423,0.0029119858816109897,0.003,0.001,8.60563380298269e-06
