x real height,y real height
190.0,49.0
189.5333474,49.0
189.0666947,49.0
188.6000421,49.0
188.1333894,49.0
187.6667368,49.0
187.2000842,49.0
186.7334315,49.0
186.2667789,49.0
185.8001262,49.0
185.3334736,49.0
184.8668209,49.0
184.4001683,49.0
183.9335157,49.0
183.466863,49.0
183.0002104,49.0
182.5335577,49.0
182.0669051,49.0
181.6002525,49.0
181.1335998,49.0
180.6669472,49.0
180.2002945,49.0
179.7336419,49.0
179.2669893,49.0
178.8003366,49.0
178.333684,49.0
177.8670313,49.0
177.4003787,49.0
176.933726,49.0
176.4670734,49.0
176.0004208,49.0
175.5337681,49.0
175.0671155,49.0
174.6004628,49.0
174.1338102,49.0
173.6671576,49.0
173.2005049,49.0
172.7338523,49.0
172.2671996,49.0
171.800547,49.0
171.3338943,49.0
170.8672417,49.0
170.4005891,49.0
169.9339364,49.0
169.4672838,49.0
169.0006311,49.0
168.5339785,49.0
168.0673259,49.0
167.6006732,49.0
167.1340206,49.0
166.6673679,49.0
166.2007153,49.0
165.7340627,49.0
165.26741,49.0
164.8007574,49.0
164.3341047,49.0
163.8674521,49.0
163.4007994,49.0
162.9341468,49.0
162.4674942,49.0
162.0008415,49.0
161.5341889,49.0
161.0675362,49.0
160.6008836,49.0
160.134231,49.0
159.6675783,49.0
159.2009257,49.0
158.734273,49.0
158.2676204,49.0
157.8009678,49.0
157.3343151,49.0
156.8676625,49.0
156.4010098,49.0
155.9343572,49.0
155.4677045,49.0
155.0010519,49.0
154.5343993,49.0
154.0677466,49.0
153.601094,49.0
153.1344413,49.0
152.6677887,49.0
152.2011361,49.0
151.7344834,49.0
151.2678308,49.0
150.8011781,49.0
150.3345255,49.0
149.8678729,49.0
149.4012202,49.0
148.9345676,49.0
148.4679149,49.0
148.0012623,49.0
147.5346096,49.0
147.067957,49.0
146.6013044,49.0
146.1346517,49.0
145.6679991,49.0
145.2013464,49.0
144.7346938,49.0
144.2680412,49.0
143.8013885,49.0
143.3347359,49.0
142.8680832,49.0
142.4014306,49.0
141.934778,49.0
141.4681253,49.0
141.0014727,49.0
140.53482,49.0
140.0681674,49.0
139.6015147,49.0
139.1348621,49.0
138.6682095,49.0
138.2015568,49.0
137.7349042,49.0
137.2682515,49.0
136.8015989,49.0
136.3349463,49.0
135.8682936,49.0
135.401641,49.0
134.9349883,49.0
134.4683357,49.0
134.001683,49.0
133.5350304,49.0
133.0683778,49.0
132.6017251,49.0
132.1350725,49.0
131.6684198,49.0
131.2017672,49.0
130.7351146,49.0
130.2684619,49.0
129.8018093,49.0
129.3351566,49.0
128.868504,49.0
128.4018514,49.0
127.9351987,49.0
127.4685461,49.0
127.00189340000001,49.0
126.5352408,49.0
126.06858809999999,49.0
125.60193549999998,49.0
125.1352829,49.0
124.6686302,49.0
124.2019776,49.0
123.7353249,49.0
123.2686723,49.0
122.8020197,49.0
122.335367,49.0
121.8687144,49.0
121.4020617,49.0
120.9354091,49.0
120.4687565,49.0
120.0021038,49.0
119.5354512,49.0
119.0687985,49.0
118.6021459,49.0
118.1354932,49.0
117.6688406,49.0
117.202188,49.0
116.7355353,49.0
116.2688827,49.0
115.80223,49.0
115.3355774,49.0
114.8689248,49.0
114.4022721,49.0
113.9356195,49.0
113.4689668,49.0
113.0023142,49.0
112.5356616,49.0
112.0690089,49.0
111.6023563,49.0
111.1357036,49.0
110.669051,49.0
110.2023983,49.0
109.7357457,49.0
109.2690931,49.0
108.8024404,49.0
108.3357878,49.0
107.8691351,49.0
107.4024825,49.0
106.9358299,49.0
106.4691772,49.0
106.0025246,49.0
105.5358719,49.0
105.0692193,49.0
104.6025667,49.0
104.135914,49.0
103.6692614,49.0
103.2026087,49.0
102.7359561,49.0
102.2693034,49.0
101.8026508,49.0
101.3359982,49.0
100.8693455,49.0
100.4026929,49.0
99.93604024,49.0
99.4693876,49.0
99.00273496,49.0
98.53608231,49.0
98.06942967,49.0
97.60277703,49.0
97.13612439,49.0
96.66947175,49.0
96.20281911,49.0
95.73616647,49.0
95.26951383,49.0
94.80286118,49.0
94.33620854,49.0
93.8695559,49.0
93.40290326,49.0
92.93625062,49.0
92.46959798,49.0
92.00294534,49.0
91.5362927,49.0
